,company,revenues,revenue_change,profits,assets,industry,sector,country,employees,total_stockholder_equity,Component 1,Component 2
0,Walmart,485873,0.8,13643.0,198825,General Merchandisers,Retailing,USA,2300000,77798,10.235627859903257,11.671296443179632
1,State Grid,315199,-4.4,9571.3,489838,Utilities,Energy,China,926067,209456,7.185886315599999,4.1847756631350865
2,Sinopec Group,267518,-9.1,1257.9,310726,Petroleum Refining,Energy,China,713288,106523,4.1253580206321425,4.017728691076049
3,China National Petroleum,262573,-12.3,1867.5,585619,Petroleum Refining,Energy,China,1512048,301893,8.373915645798126,5.906976618160054
4,Toyota Motor,254694,7.7,16899.3,437575,Motor Vehicles and Parts,Motor Vehicles & Parts,Japan,364445,157210,5.405753608146684,1.2639251305234778
5,Volkswagen,240264,1.5,5937.3,432116,Motor Vehicles and Parts,Motor Vehicles & Parts,Germany,626715,97753,4.084911353774389,3.024048006543543
6,Royal Dutch Shell,240033,-11.8,4575.0,411275,Petroleum Refining,Energy,Netherlands,89000,186646,3.9288625094792557,0.7571958390540589
7,Berkshire Hathaway,223604,6.1,24074.0,620854,Insurance: Property and Casualty (Stock),Financials,USA,367700,283001,7.4366161932960315,-0.12072843756988867
8,Apple,215639,-7.7,45687.0,321686,"Computers, Office Equipment",Technology,USA,116000,128249,6.707133365377233,-1.2923458139703405
9,Exxon Mobil,205004,-16.7,7840.0,330314,Petroleum Refining,Energy,USA,72700,167325,3.5497539751393785,0.3786481199151368
10,McKesson,198533,3.1,5070.0,60969,Wholesalers: Health Care,Wholesalers,USA,64500,11095,1.0722170430867746,1.2576694658268281
11,BP,186606,-17.4,115.0,263316,Petroleum Refining,Energy,Britain,74500,95286,1.738063838304854,1.010295662785891
12,UnitedHealth Group,184840,17.7,7017.0,122810,Health Care: Insurance and Managed Care,Health Care,USA,230000,38274,1.8153749229343092,1.391028000641417
13,CVS Health,177526,15.8,5317.0,94462,Health Care: Pharmacy and Other Services,Health Care,USA,204000,36830,1.495265763529561,1.360803025687988
