Year,% of GDP
1960,4.31
1961,3.87
1962,4.05
1963,4.01
1964,3.77
1965,3.64
1966,3.49
1967,3.28
1968,3.3
1969,3.05
1970,2.49
1971,2.79
1972,3.25
1973,4.24
1974,4.93
1975,4.7
1976,4.51
1977,4.3
1978,4.56
1979,5.16
1980,5.91
1981,7.45
1982,7.96
1983,7.2
1984,7.89
1985,8.33
1986,8.72
1987,10.42
1988,11.01
1989,9.03
1990,12.45
1991,13.44
1992,13.56
1993,12
1994,18.54
1995,17.95
1996,17.92
1997,19.49
1998,18.34
1999,18.16
2000,20.89
2001,20.31
2002,22.64
2003,26.98
2004,31.06
2005,33.83
2006,36.04
2007,35.43
2008,32.6
2009,24.75
2010,27.19
2011,26.57
2012,25.49
2013,24.6
2014,23.51
2015,21.35
2016,19.58
2017,19.69
2018,19.11
2019,18.41
2020,18.54
2021,20.01
