Area,Volume,Mortality
Barking and Dagenham,0.7703,7.9485
Barnet,0.676,6.7362
Barnsley,2.4862,14.2784
Bath and North East Somerset,1.1478,8.8415
Bedford,1.5076,11.2839
Bexley,0.8954,9.028
Birmingham,1.4102,15.1479
Blackburn with Darwen,1.818,18.6852
Blackpool,2.7308,31.8521
Bolton,2.1927,18.9481
Bracknell Forest,0.9616,6.3173
Bradford,2.6191,13.7558
Brent,0.8788,10.2087
Brighton and Hove,1.8866,16.6304
Bristol,1.6119,14.8446
Bromley,0.8536,8.0013
Buckinghamshire UA,0.9229,8.447
Bury,2.0314,15.2368
Calderdale,1.3817,15.4485
Cambridgeshire,1.2295,7.8568
Camden,1.4403,11.6405
Central Bedfordshire,1.0398,8.4607
Cheshire East,1.7604,11.8689
Cheshire West and Chester,1.8251,12.8437
Cornwall,2.0167,11.1584
County Durham,2.1237,19.3467
Coventry,1.3581,15.6041
Croydon,1.1678,7.3749
Cumbria,1.8122,12.8045
Darlington,2.5974,16.9335
Derby,1.935,16.2135
Derbyshire,1.5603,12.9203
Devon,1.7323,9.173
Doncaster,2.3588,14.9093
Dudley,1.4528,17.3887
Ealing,1.1823,11.0074
East Riding of Yorkshire,2.0061,7.2751
East Sussex,1.6212,10.6818
Enfield,0.9337,5.3771
Essex,1.0584,10.6041
Gateshead,1.4145,18.3348
Gloucestershire,1.1785,9.9796
Greenwich,1.0334,9.0081
Hackney,1.0199,11.4852
Halton,1.5155,19.6935
Hammersmith and Fulham,1.5081,8.1507
Hampshire,1.3333,8.3328
Haringey,1.78,8.9549
Harrow,1.0751,6.3069
Hartlepool,2.6226,21.3477
Havering,1.0127,8.2531
Herefordshire,1.753,9.6443
Hertfordshire,1.0851,9.5457
Hillingdon,1.1428,13.0661
Hounslow,1.2279,10.8128
Isle of Wight,1.5634,10.8636
Islington,1.3111,11.5459
Kensington and Chelsea,1.4165,8.3354
Kent,1.325,10.4886
Kingston upon Hull,1.7616,15.1415
Kingston upon Thames,1.4019,10.6323
Kirklees,1.6895,15.7157
Knowsley,1.5286,16.5628
Lambeth,0.8516,14.4745
Lancashire,1.9843,16.0871
Leeds,1.6033,14.3194
Leicester,1.7174,14.8248
Leicestershire,1.2463,10.9451
Lewisham,1.1664,12.7971
Lincolnshire,1.8728,10.4697
Liverpool,1.4297,18.9282
Luton,1.549,10.6524
Manchester,2.062,19.1672
Medway,1.3179,12.0252
Merton,1.2362,8.458
Middlesbrough,1.2101,21.0074
Milton Keynes,0.8806,11.6416
Newcastle upon Tyne,2.7949,19.1585
Newham,0.9766,11.2722
Norfolk,1.2902,10.0648
North East Lincolnshire,2.2464,18.465
North Lincolnshire,1.6404,13.5671
North Northamptonshire,1.6868,12.2187
North Somerset,1.5558,10.7392
North Tyneside,2.5395,16.7849
North Yorkshire,1.5503,8.8264
Northumberland,2.4428,14.568
Nottingham,1.3416,18.4099
Nottinghamshire,1.4748,13.4425
Oldham,2.3415,19.3094
Oxfordshire,1.3905,9.4531
Peterborough,1.8497,13.469
Plymouth,1.4188,11.1396
Portsmouth,1.5845,15.1317
Reading,2.1962,16.9207
Redbridge,0.7657,8.9095
Redcar and Cleveland,1.3664,14.8409
Richmond upon Thames,1.3664,10.8879
Rochdale,2.0373,17.3227
Rotherham,1.6453,13.8339
Rutland,1.5779,8.3088
Salford,2.0237,16.9036
Sandwell,1.1086,18.4181
Sefton,1.9309,15.4768
Sheffield,1.498,13.4272
Shropshire,1.455,10.7433
Slough,1.3116,14.7716
Solihull,1.2984,10.5756
Somerset,1.6529,10.448
South Gloucestershire,1.1622,8.6996
South Tyneside,2.4649,23.0098
Southampton,1.4183,17.0362
Southend-on-Sea,1.0951,15.703
Southwark,0.8504,9.9022
St. Helens,2.1343,20.7681
Staffordshire,1.1437,12.2027
Stockport,1.7381,17.8708
Stockton-on-Tees,1.1646,19.1502
Stoke-on-Trent,1.95,19.2225
Suffolk,1.205,8.7468
Sunderland,1.3546,22.4274
Surrey,1.1194,8.8551
Sutton,1.0563,9.2547
Swindon,1.1079,12.8061
Tameside,2.4084,19.68
Telford and Wrekin,1.5582,15.37
Thurrock,1.0856,9.9899
Torbay,1.727,18.3358
Tower Hamlets,1.0239,12.5843
Trafford,1.7401,13.3508
Wakefield,2.4272,16.3883
Walsall,1.5527,17.5486
Waltham Forest,1.0289,8.7008
Wandsworth,1.4412,10.7919
Warrington,1.7331,14.2693
Warwickshire,1.4727,9.2856
West Berkshire,1.5267,11.4692
West Northamptonshire,1.6908,9.6909
West Sussex,1.0561,10.2573
Westminster,1.2823,7.1067
Wigan,1.5761,21.2922
Wiltshire,1.6325,9.2462
Windsor and Maidenhead,1.6062,11.6317
Wirral,1.6533,17.0963
Wokingham,0.9295,8.8209
Wolverhampton,1.5937,19.002
Worcestershire,1.2792,12.8927
York,2.0494,7.297
