Year,DeathT,DeathD,TotalC,DrinkC
1999,3423,460,0,0
2000,3409,530,0,0
2001,3450,530,0,0
2002,3431,550,0,0
2003,3508,580,0,0
2004,3221,580,0,0
2005,3201,550,0,0
2006,3172,560,0,0
2007,2946,410,0,0
2008,2538,400,0,0
2009,2222,380,0,0
2010,1850,240,0,0
2011,1901,240,0,0
2012,1754,230,195723,9930
2013,1713,240,183670,8270
2014,1775,240,194477,8210
2015,1730,200,186189,8470
2016,1792,230,181384,9040
2017,1793,250,170993,8600
2018,1784,240,160597,8680
2019,1752,230,153158,7800
2020,1460,220,115584,6480
