Country,2009,2019,GDP
Australia,10.7,9.5,66408
Austria,11.8,11.6,52062
Belgium,10.1,9.2,50598
Brazil,7,6.1,8857
Canada,8.4,8,56794
Chile,7.2,7.1,15604
China ,4.9,4.5,12970
Colombia,4.2,4.1,6644
Costa Rica,4.1,3.1,13090
Czech Republic,12.1,11.9,28095
Denmark,10.1,9.5,65713
Estonia,11.9,10.4,29344
Finland,10,8.2,50818
France,12.6,11.4,42330
Germany,11.2,10.6,48398
Greece,8.3,6.3,20876
Hungary,11.5,11.4,18983
Iceland,7.2,7.7,73981
India,2.5,3.1,2466
Italy,7.3,7.7,33740
Japan,7.4,7.1,34358
Korea,8.9,8.3,33592
Latvia,9.9,12.9,21482
Lithuania,13.1,11.1,24032
Mexico,4.3,4.4,10948
Netherlands,9.4,8.2,56298
New Zealand,9.3,8.8,47278
Poland,10.2,11,19023
Portugal,11.5,10.4,24910
Russia,16.1,10.8,14665
Slovak Republic,10.7,10.3,20565
Slovenia,10.5,11.1,29469
South Africa,7.3,7.2,6739
Spain,10,10.7,29198
Sweden,7.3,7.1,56361
Switzerland,10.1,9.3,92434
Turkey,1.5,1.3,9961
United Kingdom,10.1,9.7,47318
