Area,Value
Craven,10.36
South Lakeland,9.96
North Devon,9.62
Barrow-in-Furness,9.56
Blackpool,9.40
Newcastle upon Tyne,9.19
Copeland,9.15
Reading,9.10
Lincoln,9.03
Hartlepool,8.62
Darlington,8.54
South Hams,8.50
Burnley,8.49
North Tyneside,8.35
Hyndburn,8.30
Tameside,8.29
Chesterfield,8.28
Northumberland,8.18
Bradford,8.16
Rother,8.15
South Tyneside,8.10
Pendle,8.10
Oldham,8.06
Cornwall,7.99
Hastings,7.85
Brighton and Hove,7.83
Barnsley,7.74
Tendring,7.74
Sedgemoor,7.64
Wakefield,7.56
Bolton,7.55
Mansfield,7.52
Haringey,7.51
St. Helens,7.35
Doncaster,7.34
Great Yarmouth,7.29
Torridge,7.18
Peterborough,7.16
Preston,7.14
Stoke-on-Trent,7.14
Manchester,7.10
Derby,7.08
Rochdale,7.02
Bury,6.99
North East Lincolnshire,6.99
South Somerset,6.99
Lancaster,6.98
County Durham,6.98
Rossendale,6.97
Salford,6.97
Bolsover,6.96
North East Derbyshire,6.88
Winchester,6.84
Torbay,6.84
Windsor and Maidenhead,6.78
Tunbridge Wells,6.71
Sefton,6.65
Thanet,6.61
Cambridge,6.61
Portsmouth,6.58
Wiltshire,6.56
Ribble Valley,6.56
North Northamptonshire,6.53
Test Valley,6.52
Teignbridge,6.51
Isle of Wight,6.49
West Devon,6.49
Eastbourne,6.44
Wealden,6.43
South Holland,6.42
West Northamptonshire,6.42
Herefordshire,6.42
York,6.38
Bristol,6.38
Hammersmith and Fulham,6.36
East Hampshire,6.36
Bassetlaw,6.35
Wyre,6.34
Hart,6.34
West Berkshire,6.30
North Warwickshire,6.29
Fylde,6.29
Leicester,6.29
Cheshire West and Chester,6.28
Blackburn with Darwen,6.26
East Riding of Yorkshire,6.25
South Ribble,6.20
East Devon,6.20
Brentwood,6.18
East Lindsey,6.17
Colchester,6.17
Norwich,6.16
North Somerset,6.16
Maidstone,6.15
Basingstoke and Deane,6.15
Scarborough,6.11
Wandsworth,6.08
Camden,6.08
West Lancashire,6.07
Allerdale,6.06
Cheshire East,6.06
North Norfolk,6.00
Luton,5.99
Trafford,5.99
Stockport,5.98
Kensington and Chelsea,5.98
Havant,5.98
Warrington,5.97
Ashfield,5.96
Kingston upon Thames,5.92
Stratford-on-Avon,5.91
Southampton,5.89
Wyre Forest,5.85
Fenland,5.84
Folkestone & Hythe,5.84
Exeter,5.84
Wolverhampton,5.83
Bedford,5.83
Hertsmere,5.81
Rutland,5.80
Swale,5.79
Richmond upon Thames,5.77
Newcastle-under-Lyme,5.76
Rugby,5.74
Telford and Wrekin,5.70
Wirral,5.69
Spelthorne,5.69
Walsall,5.68
Staffordshire Moorlands,5.68
West Oxfordshire,5.67
Watford,5.67
Ipswich,5.67
Harborough,5.62
Plymouth,5.62
Malvern Hills,5.57
Wychavon,5.54
Slough,5.54
Islington,5.53
Kingston upon Hull,5.49
