AreaName,Value
Southampton,2275.79
Blackpool,1282.01
Eastleigh,1276.07
Salford,1260.29
Liverpool,1194.81
South Tyneside,1172.54
Sunderland,1159.96
Knowsley,1145.37
Bristol,1098.2
North Tyneside,1096.63
New Forest,1095.89
Wirral,1052.06
Gateshead,1041.76
St. Helens,1013.05
Portsmouth,990.5
Sefton,987.78
Coventry,983.84
Newcastle upon Tyne,978.4
Hyndburn,961.78
Scarborough,942.02
Burnley,938.72
Test Valley,931.66
Manchester,905.27
Northumberland,904.24
Wigan,899.35
Blackburn with Darwen,897.54
Hartlepool,886.53
Preston,870.51
Middlesbrough,866.45
Halton,865.48
Kingston upon Hull,858.26
Torbay,847.57
Rotherham,840.19
Gloucester,831.82
Norwich,827.77
Chorley,824.31
Hammersmith and Fulham,818.92
Chesterfield,815.21
"Bournemouth, Christchurch and Poole",807.01
Hastings,801.25
Nottingham,795.28
Cambridge,780.99
North Somerset,779.92
Barrow-in-Furness,777.97
Stockton-on-Tees,775.89
Darlington,775.55
Birmingham,769.33
Gosport,765.71
Derby,762.61
Ealing,761.44
Tameside,756.21
Barnsley,755.03
Hackney,742.27
Islington,741.1
Hounslow,730.99
County Durham,725.18
Exeter,716.68
Leicester,714.82
Stoke-on-Trent,714.43
Oxford,709.81
Winchester,709.17
Southwark,706.49
Warrington,705.93
Mansfield,705.59
South Ribble,701.92
Lambeth,699.99
Fylde,697.99
Swindon,687.43
York,682.96
Stockport,681.58
Lancaster,681.14
Oldham,680.63
Redcar and Cleveland,680.38
Isle of Wight,676.12
Arun,673.72
Rossendale,672.5
Fareham,669.38
King's Lynn and West Norfolk,667.23
Bolton,664.13
Nuneaton and Bedworth,661.26
Rochdale,660.78
Eastbourne,660.66
North East Lincolnshire,657.71
Havant,657.69
Luton,655.86
South Gloucestershire,651.14
Cheshire East,650.18
Copeland,644.9
Cheltenham,644
Leeds,643.78
Bradford,640.03
Wandsworth,639.86
Thanet,639.59
Lincoln,631.27
Wyre,628.71
Doncaster,626.66
Sandwell,625.29
Great Yarmouth,622.8
Wolverhampton,621.29
West Lancashire,620.19
Ashfield,616.78
Cheshire West and Chester,610.4
West Somerset,609.72
Taunton Deane,609.72
Redditch,608.98
Guildford,603.97
Basingstoke and Deane,600.12
Calderdale,597
Rugby,594
Dudley,593.99
Pendle,592.97
Carlisle,584.82
Chichester,582.71
Wakefield,578.14
Trafford,575.87
Bolsover,573.15
Slough,572.98
Wyre Forest,570.39
Erewash,570.33
High Peak,567.42
Newham,567.12
Brent,565.46
South Somerset,565.03
Allerdale,563.84
North East Derbyshire,563.44
Bath and North East Somerset,561.48
Tower Hamlets,558.04
Tamworth,557.7
Brighton and Hove,556.98
Lewisham,556.35
Richmond upon Thames,553.1
Crawley,553.1
Spelthorne,552.36
Newcastle-under-Lyme,551.33
Bury,549.68
Waverley,548.48
Sedgemoor,545.53
Walsall,545.04
Cannock Chase,543.61
Kensington and Chelsea,542.01
Reading,539.89
Kingston upon Thames,537.99
Amber Valley,535.18
Ribble Valley,532.28
Broxtowe,525.63
Fenland,523.96
North Devon,522.85
Harlow,521.76
Dorset,521.5
East Staffordshire,517.71
West Northamptonshire,515.76
Teignbridge,515.75
Rushmoor,514.72
Canterbury,513.34
Greenwich,513.08
Camden,513.04
North Lincolnshire,510.67
Worthing,507.68
Haringey,507.65
East Hampshire,505.67
Westminster,505.29
Plymouth,503.85
Gedling,501.56
Stevenage,500
Telford and Wrekin,499.75
Sheffield,499.41
Ipswich,497.65
Stroud,497.25
Cornwall,493.17
Solihull,491.5
Watford,488.68
Peterborough,487.38
