,Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Component 1,Component 2
0,Precious Achiuwa,C,73,1725,265,603,0.439,56,156,0.359,209,447,0.468,0.486,78,131,0.595,146,327,473,82,37,41,84,151,664,12.7,0.503,0.259,0.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,2.2819696674065857,2.1054912219324513
1,Steven Adams,C,76,1999,210,384,0.547,0,1,0.0,210,383,0.548,0.547,108,199,0.543,349,411,760,256,65,60,115,153,528,17.6,0.56,0.003,0.518,17.9,22.0,19.9,16.1,1.6,2.7,19.6,12.0,4.551743305048332,5.3432151298215524
2,Bam Adebayo,C,56,1825,406,729,0.557,0,6,0.0,406,723,0.562,0.557,256,340,0.753,137,427,564,190,80,44,148,171,1068,21.8,0.608,0.008,0.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,4.711180630066336,2.467856288990335
3,Santi Aldama,PF,32,360,53,132,0.402,6,48,0.125,47,84,0.56,0.424,20,32,0.625,33,54,87,21,6,10,16,36,132,10.2,0.452,0.364,0.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,-2.2457595913729036,0.3822863111337677
4,LaMarcus Aldridge,C,47,1050,252,458,0.55,14,46,0.304,238,412,0.578,0.566,89,102,0.873,73,185,258,42,14,47,44,78,607,19.6,0.604,0.1,0.223,7.8,18.7,13.4,6.3,0.6,4.0,8.0,22.4,0.07814665442266237,1.6201385337430871
5,Nickeil Alexander-Walker,SG,65,1466,253,680,0.372,105,338,0.311,148,342,0.433,0.449,81,109,0.743,37,150,187,156,46,23,93,103,692,10.5,0.475,0.497,0.16,2.7,11.5,7.1,16.1,1.5,1.5,11.3,24.1,1.3114672976563808,-1.097172321019756
6,Grayson Allen,SG,66,1805,255,569,0.448,159,389,0.409,96,180,0.533,0.588,64,74,0.865,32,190,222,100,46,18,43,96,733,12.7,0.609,0.684,0.13,1.9,10.9,6.5,7.6,1.2,1.0,6.7,15.2,1.1339984866554151,-1.4285581666911886
7,Jarrett Allen,C,56,1809,369,545,0.677,1,10,0.1,368,535,0.688,0.678,165,233,0.708,192,410,602,92,44,75,94,97,904,23.0,0.698,0.018,0.428,12.0,24.5,18.4,8.2,1.2,3.7,12.7,18.1,3.369249369400293,3.9608542642558295
8,Jose Alvarado,PG,54,834,131,294,0.446,32,110,0.291,99,184,0.538,0.5,36,53,0.679,25,75,100,152,71,7,40,73,330,16.4,0.52,0.374,0.18,3.2,10.2,6.6,26.9,4.2,0.8,11.2,18.4,-0.5705665001344126,-0.557384146266582
9,Justin Anderson,SF,16,316,36,95,0.379,15,59,0.254,21,36,0.583,0.458,15,19,0.789,4,42,46,33,8,6,8,22,102,10.4,0.493,0.621,0.2,1.4,15.0,8.1,14.2,1.2,1.7,7.2,15.1,-2.582303234111976,-0.17456046337807096
10,Kyle Anderson,PF,69,1484,209,469,0.446,36,109,0.33,173,360,0.481,0.484,67,105,0.638,69,299,368,183,77,45,71,108,521,14.4,0.506,0.232,0.224,4.8,21.6,13.0,16.2,2.5,2.7,12.1,16.2,1.744163588717912,1.1325442088921498
