Name,Nationality,Sum
Ronnie O'Sullivan,England,1 007 000
Neil Robertson,Australia,873 500
Judd Trump,England,853 000
Mark Selby,England,828 500
John Higgins,Scotland,506 000
Mark J Williams,Wales,454 000
Kyren Wilson,England,450 500
Zhao Xintong,China,431 500
Mark Allen,Northern Ireland,401 500
Barry Hawkins,England,335 000
Luca Brecel,Belgium,327 500
Jack Lisowski,England,322 000
Shaun Murphy,England,307 500
Stuart Bingham,England,299 500
Yan Bingtao,China,244 000
Ryan Day,Wales,237 000
Anthony McGill,Scotland,209 500
Ricky Walden,England,209 500
David Gilbert,England,205 000
Hossein Vafaei,Iran,203 000
Zhou Yuelong,China,185 500
Jordan Brown,Northern Ireland,173 500
Ali Carter,England,168 000
Jimmy Robertson,England,164 000
Stephen Maguire,Scotland,156 000
Matthew Selt,England,153 500
Robert Milkins,England,152 500
Jamie Jones,Wales,150 500
Lu Ning,China,142 000
Joe Perry,England,141 500
Gary Wilson,England,130 000
Tom Ford,England,129 000
Noppon Saengkham,Thailand,123 000
Xiao Guodong,China,121 000
Graeme Dott,Scotland,119 000
Lyu Haotian,China,115 000
Fan Zhengyi,China,114 000
Ding Junhui,China,108 000
Anthony Hamilton,England,100 500
Li Hang,China,97 000
Chris Wakelin,England,94 500
Liam Highfield,England,94 500
Martin Gould,England,93 000
Jak Jones,Wales,91 500
Liang Wenbo,China,91 000
Ben Woollaston,England,89 500
Sam Craigie,England,88 500
Pang Junxu,China,86 500
Jamie Clarke,Wales,82 500
Joe O'Connor,England,81 500
Mark King,England,80 500
Robbie Williams,England,77 500
Mark Joyce,England,77 500
Elliot Slessor,England,75 500
Scott Donaldson,Scotland,75 500
Tian Pengfei,China,74 000
Dominic Dale,Wales,72 000
Oliver Lines,England,72 000
Thepchaiya Un-Nooh,Thailand,71 500
Matthew Stevens,Wales,70 500
Stuart Carrington,England,67 000
David Grace,England,66 500
Cao Yupeng,China,65 000
Mark Davis,England,65 000
Alexander Ursenbacher [9],Switzerland,64 000
Jackson Page [7],Wales,63 000
Yuan Sijun [1],China,63 000
Andy Hicks [11],England,52 000
Wu Yize [3],China,51 500
Zhang Anda [14],China,41 500
Hammad Miah [6],England,38 000
Mitchell Mann [14],England,34 000
Xu Si [20],China,29 000
Peter Lines [29],England,27 500
Chang Bingyu [4],China,27 000
Zhang Jiankang [29],China,27 000
Gerard Greene [9],Northern Ireland,26 500
Lei Peifan [33],China,25 500
Craig Steadman [8],England,24 500
Louis Heathcote [28],England,23 000
Duane Jones,Wales,23 000
Ian Burns [14],England,20 000
Fraser Patrick [23],Scotland,18 500
Barry Pinches [26],England,17 500
Michael White,Wales,16 500
Si Jiahui,China,16 000
Michael Judge [17],Ireland,15 000
Andrew Pagett [36],Wales,14 500
Jimmy White [19],England,12 000
Aaron Hill,Ireland,11 500
Dylan Emery,Wales,10 000
Chen Zifan [13],China,10 000
Dean Young [32],Scotland,10 000
John Astley,England,9 500
Jamie O'Neill,England,9 000
Alfie Burden [36],England,8 000
Andy Lee,Hong Kong,7 500
Sean O'Sullivan,England,7 000
David Lilley,England,6 500
Lukas Kleckers,Germany,6 000
Ng On Yee (f) [29],Hong Kong,6 000
Ben Mertens,Belgium,5 000
Marco Fu [24],Hong Kong,4 500
Ashley Hugill,England,4 000
James Cahill,England,4 000
Sanderson Lam,England,4 000
Julien Leclercq,Belgium,3 000
Mink Nutcharut (f),Thailand,3 000
Zak Surety,England,3 000
Oliver Brown,England,3 000
Rod Lawler,England,2 000
Himanshu Jain,India,2 000
Jenson Kendrick,England,1 000
Ken Doherty,Ireland,1 000
Ryan Thomerson,Australia,1 000
Reanne Evans (f),England,0
Adam Duffy,England,0
Andres Petrov,Estonia,0
Anton Kazakov,Ukraine,0
Peng Yisong,China,0
Rebecca Kenna (f),England,0
Allan Taylor,England,0
Fergal O'Brien,Ireland,0
Stephen Hendry,Scotland,0
Asjad Iqbal,Pakistan,0
Bai Langning,China,0
Dechawat Poomjaeng,Thailand,0
Mohamed Ibrahim,Egypt,0
Muhammad Asif,Pakistan,0
Victor Sarkis,Brazil,0
