area,type,value
East Midlands region,abstain,16.1
East Midlands region,binge,14.9
East Midlands region,over,22.8
East of England region,abstain,12.5
East of England region,binge,14.5
East of England region,over,23.1
London region,abstain,23.6
London region,binge,14.6
London region,over,20.1
North East region,abstain,16.1
North East region,binge,19.9
North East region,over,25.1
North West region,abstain,15
North West region,binge,18.5
North West region,over,25.7
South East region,abstain,12.4
South East region,binge,14.9
South East region,over,22.9
South West region,abstain,12.8
South West region,binge,13.2
South West region,over,24
West Midlands region,abstain,20.7
West Midlands region,binge,15.1
West Midlands region,over,22.2
Yorkshire and the Humber region,abstain,16
Yorkshire and the Humber region,binge,15.1
Yorkshire and the Humber region,over,21.2
